/* DADOS USADOS */

--OBVIAMENTE, RESPEITANDO AS LEIS DE PROTEÇÃO DE DADOS, TODOS ESSES DADOS SÃO FALSOS--

Nome,Sobrenome,Nascimento,CPF,Email,Setor,Salário,Filial
Michael,Figueira,26079,60815753253,michaelfigueira@terra.com,Administrativo,4250,Santa Catarina
Wander,Nascimento,31078,59861844303,wandernascimento@gmail.com,Finaneiro,3750,Maranhão
José,Brixner,25204,31086065243,josébrixner@gmail.com,Compras,5500,Amapá
Ailton,Ramos,24210,90196448716,ailtonramos@terra.com,Finaneiro,5000,Rondônia
Mariana,Abreu,36623,18032171342,marianaabreu@globo.com,Comercial,7000,Mato Grosso Do Sul
Tomas,Lula,20726,48506146125,tomaslula@gmail.com,Finaneiro,3000,Rio De Janeiro
Beatriz,Fragoso,20133,99203652028,beatrizfragoso@terra.com,Administrativo,5000,Rondônia
Antônio,Nascimento,25282,60567246498,antônionascimento@live.com,Compras,5000,Rio De Janeiro
Geovane,Villegas,19585,28931127922,geovanevillegas@gmail.com,Gestão,6250,Rio De Janeiro
Thiago,Guimarães,31685,84694581589,thiagoguimarães@gmail.com,Compras,4750,Tocantins
Rogerio,Leitão,20700,82305744259,rogerioleitão@outlook.com,Marketing,24750,Pernambuco
Maximo,Avila,27739,94801977319,maximoavila@live.com,Finaneiro,3750,Rio De Janeiro
Luciano,Alves,34069,64286060097,lucianoalves@gmail.com,Administrativo,5000,Piauí
Elisangela,Joekel,29381,80396849425,elisangelajoekel@gmail.com,Gestão,5250,Goiás
Wilton,Bertolino,20593,77929222243,wiltonbertolino@gmail.com,Comercial,6750,São Paulo
Guilherme,Júlio,36121,75565879530,guilhermejúlio@gmail.com,Administrativo,10750,Rio Grande Do Sul
Rafael,Silva,26797,61389567282,rafaelsilva@gmail.com,Finaneiro,20000,Mato Grosso Do Sul
Gabriel,Algarve,34716,15074309942,gabrielalgarve@gmail.com,Comercial,17000,Rio De Janeiro
Gilvan,Oliveira,37256,13494797117,gilvanoliveira@terra.com,Marketing,6500,Bahia
Simone,Barbosa,29996,52694671105,simonebarbosa@uol.com,Administrativo,5000,Pernambuco
Maycon,Braghini,26375,71477054525,mayconbraghini@gmail.com,Administrativo,25500,Paraná
Rosana,Lima,23909,80285413864,rosanalima@uol.com,Administrativo,3750,Pará
Luciana,Tavares,22930,41428083753,lucianatavares@gmail.com,Comercial,8000,Pernambuco
Daniel,Rallo,28573,20417714452,danielrallo@outlook.com,Finaneiro,17000,Rio Grande Do Sul
Joana,Lunardi,22572,13359000142,joanalunardi@uol.com,Administrativo,4750,Tocantins
Sérgio,Pinheiro,36183,61846080738,sérgiopinheiro@gmail.com,Comercial,28000,Rio Grande Do Sul
Benedita,Grigorio,32079,89850151682,beneditagrigorio@outlook.com,Compras,3250,Rio De Janeiro
Jussara,Baptista,32396,16867410818,jussarabaptista@terra.com,Comercial,2500,Paraná
Cesar,Coelho,31769,31472409393,cesarcoelho@hotmail.com,Marketing,5250,São Paulo
Raíssa,Gomez,36190,67627170295,raíssagomez@hotmail.com,Comercial,5750,Paraná
Beatriz,Jesus,28025,71065814865,beatrizjesus@gmail.com,Comercial,27000,Pernambuco
Marcos,Rodrigues,28761,51614731346,marcosrodrigues@globo.com,Gestão,16000,Rio De Janeiro
Júlia,Carlos,23842,14269234440,júliacarlos@terra.com,Administrativo,6250,Rio Grande Do Norte
Renata,Vaze,19843,62402615708,renatavaze@hotmail.com,Comercial,4000,Rio De Janeiro
Joselma,Castelo,32092,65142115572,joselmacastelo@globo.com,Compras,9750,Maranhão
Ailson,Evaristo,25779,48577356973,ailsonevaristo@terra.com,Comercial,26000,Rondônia
Gilvania,Christovao,31308,11783568705,gilvaniachristovao@terra.com,Finaneiro,8000,Amazonas
Geraldo,Wajsenzon,19771,92195557555,geraldowajsenzon@globo.com,Finaneiro,7000,Amazonas
Jaqueline,Janei,30052,27491089979,jaquelinejanei@uol.com,Finaneiro,4750,Rio De Janeiro
Fabio,Vitalino,26157,18938092946,fabiovitalino@terra.com,Marketing,18750,Amazonas
Helio,Santos,37342,45956662420,heliosantos@hotmail.com,Gestão,6000,Piauí
Verônica,Brixner,28539,94218249603,verônicabrixner@gmail.com,Marketing,4500,Rio Grande Do Sul
Thays,Domingos,33714,11214226039,thaysdomingos@hotmail.com,Administrativo,5250,Rio De Janeiro
Nayara,Lima,24671,99919950106,nayaralima@terra.com,Marketing,2750,Acre
Rosana,Coelho,36936,37450849863,rosanacoelho@gmail.com,Marketing,12250,Tocantins
Natália,Rufino,28828,68739503985,natáliarufino@terra.com,Marketing,8250,Tocantins
Monike,Oliveira,30125,31075365328,monikeoliveira@gmail.com,Gestão,5250,Mato Grosso
Raphael,Alves,25671,12539702357,raphaelalves@uol.com,Gestão,3000,Rio De Janeiro
Renan,Moreira,19214,49884815570,renanmoreira@gmail.com,Marketing,5500,Rio Grande Do Sul
Lucas,Candido,31115,57108286356,lucascandido@uol.com,Produção,5500,Bahia
Felipe,Zacarias,20807,41327324093,felipezacarias@hotmail.com,Gestão,17750,Rio De Janeiro
Jussara,Marques,19421,78546521357,jussaramarques@gmail.com,Finaneiro,7500,Rondônia
Eder,Martins,22614,41632424251,edermartins@globo.com,Finaneiro,4250,Pernambuco
Getulio,Ramos,25685,49583766504,getulioramos@globo.com,Gestão,28000,Rondônia
Vivian,Rolien,37049,38392300353,vivianrolien@uol.com,Comercial,3500,Rio De Janeiro
Jose,Carreiro,23384,13941384919,josecarreiro@globo.com,Marketing,8000,Rio De Janeiro
Bernardo,Araujo,30188,58818297807,bernardoaraujo@hotmail.com,Marketing,8500,Rio Grande Do Norte
Cícero,Guimarães,31442,95577989097,cíceroguimarães@globo.com,Gestão,3250,Roraima
Andre,Scopel,35496,58053605897,andrescopel@uol.com,Comercial,24250,Rio De Janeiro
Maria,Alves,36909,25033599978,mariaalves@gmail.com,Marketing,27250,Rio Grande Do Sul
Sarah,Gouvea,31179,67327682800,sarahgouvea@gmail.com,Finaneiro,5750,Rio De Janeiro
Geovane,Castro,30842,18831475747,geovanecastro@terra.com,Comercial,7250,Rondônia
Tatiane,Gonzaga,35339,80929850324,tatianegonzaga@terra.com,Finaneiro,4500,Mato Grosso
Alexandre,Rolien,24956,94524045183,alexandrerolien@hotmail.com,Comercial,4250,Pernambuco
Mario,Ferreira,24381,26710700798,marioferreira@live.com,Gestão,7250,Pará
Roberto,Santos,24925,55754199247,robertosantos@gmail.com,Administrativo,24250,Rio De Janeiro
Giovanni,Lima,31311,51395841523,giovannilima@uol.com,Comercial,6750,Alagoas
Fabio,Feltrini,28078,31043619174,fabiofeltrini@gmail.com,Finaneiro,13000,Amazonas
Carlos,Silva,37239,22570030348,carlossilva@outlook.com,Administrativo,17500,Minas Gerais
Brenda,Pereira,19966,46260544037,brendapereira@hotmail.com,Marketing,8000,Pernambuco
Alexandre,Lima,28450,69334854484,alexandrelima@terra.com,Comercial,5000,Bahia
Maria,Manhães,32191,87152861779,mariamanhães@gmail.com,Finaneiro,6250,Paraná
Daniel,Benbow,23362,81887275223,danielbenbow@gmail.com,Finaneiro,12750,Paraíba
Paulo,Pereira,20301,64169127811,paulopereira@terra.com,Marketing,13750,Rondônia
Eduardo,Leocádio,33562,29258530686,eduardoleocádio@uol.com,Marketing,2750,Rio Grande Do Sul
Valdemir,Maciel,34554,14563963412,valdemirmaciel@hotmail.com,Marketing,5750,Rio De Janeiro
Jorge,Ferreira,24140,48502454447,jorgeferreira@hotmail.com,Administrativo,6000,Sergipe
Carolina,Medina,33756,15363331353,carolinamedina@gmail.com,Marketing,27250,Pará
Angelica,Sabino,26053,41285408083,angelicasabino@hotmail.com,Gestão,8250,Rondônia
Janaina,Mendes,33406,18993224518,janainamendes@terra.com,Compras,4000,Rio De Janeiro
Marcia,Lodi,24906,18484567461,marcialodi@terra.com,Compras,13250,Bahia
Lívia,Pinto,36318,48698404133,líviapinto@outlook.com,Finaneiro,4750,Bahia
Michael,Teixeira,30014,90770096639,michaelteixeira@live.com,Gestão,4500,Pernambuco
Aparecida,Paes,22344,10022962561,aparecidapaes@live.com,Gestão,2750,Pernambuco
Edson,Alves,28819,48648919116,edsonalves@gmail.com,Marketing,6500,Bahia
Jean,Florêncio,19779,47818872094,jeanflorêncio@gmail.com,Marketing,22250,Rio De Janeiro
Wilson,Trevizoli,32753,80674350428,wilsontrevizoli@gmail.com,Comercial,4000,Rio De Janeiro
Danilo,Santos,28400,93757828348,danilosantos@live.com,Compras,19750,Rio De Janeiro
Elton,Algarve,22320,95539516896,eltonalgarve@terra.com,Gestão,6000,Rio Grande Do Sul
Rui,Bianchi,32458,14387816947,ruibianchi@globo.com,Comercial,4250,Bahia
Icaro,Silva,32786,86487952632,icarosilva@terra.com,Finaneiro,5000,Rio De Janeiro
Luiz,Gonçalves,21311,55977391869,luizgonçalves@globo.com,Finaneiro,3000,Pará
Mauricio,Gonçalves,22188,72811212003,mauriciogonçalves@hotmail.com,Administrativo,6250,São Paulo
Vivian,Perira,22086,90731126383,vivianperira@globo.com,Comercial,5500,Amazonas
Homero,Alves,36082,67335557689,homeroalves@gmail.com,Administrativo,3000,Distrito Federal
Jose,Pereira,26727,70390039268,josepereira@globo.com,Gestão,7500,Rio De Janeiro
Marcos,Peixoto,35183,23278469617,marcospeixoto@gmail.com,Produção,5000,Bahia
Guilherme,Pineres,30144,32051323366,guilhermepineres@gmail.com,Marketing,4000,Paraná
Maria,Godoi,33504,42841298983,mariagodoi@gmail.com,Comercial,23750,Pernambuco
Erivelton,Viana,31871,48446262374,eriveltonviana@terra.com,Produção,5000,Rio De Janeiro
Felipe,Ferreira,33614,75889019879,felipeferreira@outlook.com,Produção,18250,Rio De Janeiro
Gustavo,Pedrosa,30616,70425658937,gustavopedrosa@outlook.com,Gestão,10500,Espírito Santo
Heraldo,Lima,22827,63200120300,heraldolima@hotmail.com,Comercial,15250,Rio De Janeiro
Gabriel,Araujo,34526,27603969131,gabrielaraujo@globo.com,Administrativo,6500,Bahia
Bruno,Fragoso,29693,42633478746,brunofragoso@live.com,Comercial,6750,Paraná
Sebastião,Santos,25372,50848567412,sebastiãosantos@globo.com,Marketing,3000,Pernambuco
Cintia,Ouríques,22404,96403264059,cintiaouríques@gmail.com,Comercial,6000,Rio De Janeiro
Willian,Ramos,37181,45810062644,willianramos@globo.com,Gestão,5500,Amazonas
José,Guimarães,27041,67945925861,joséguimarães@hotmail.com,Gestão,4000,Bahia
Marcio,Calera,24345,81801066624,marciocalera@globo.com,Administrativo,2500,Bahia
Denise,Kubiaki,20046,41619699220,denisekubiaki@live.com,Finaneiro,22000,Piauí
Fábio,Silva,22556,54515408972,fábiosilva@gmail.com,Finaneiro,5500,Ceará
Carina,Nocera,23716,55673974790,carinanocera@live.com,Finaneiro,5750,São Paulo
Roberto,Silva,33660,72632389142,robertosilva@gmail.com,Gestão,2750,Paraná
Paula,Zadra,36302,10789963802,paulazadra@gmail.com,Comercial,7750,Paraná
Rodrigo,Sousa,21996,29359876474,rodrigosousa@terra.com,Compras,8500,São Paulo
Luis,Moreira,20339,55922388613,luismoreira@hotmail.com,Finaneiro,15250,Goiás
Edson,Silva,30415,54606874961,edsonsilva@live.com,Gestão,19750,Amazonas
Jose,Paladini,31166,22375735987,josepaladini@gmail.com,Comercial,3500,Minas Gerais
Marino,Vieira,34470,71300849665,marinovieira@gmail.com,Comercial,5250,Amazonas
José,Bueno,36962,72218535801,josébueno@hotmail.com,Compras,6000,Rio De Janeiro
Elisangela,Lima,19988,31096108104,elisangelalima@live.com,Marketing,2750,Rio De Janeiro
Viviane,Valença,31213,36343165740,vivianevalença@gmail.com,Marketing,8250,São Paulo
Guilherme,Braga,32221,22345906271,guilhermebraga@terra.com,Gestão,23750,Paraná
Anderson,Diniz,37500,38961680952,andersondiniz@terra.com,Comercial,5250,Rio De Janeiro
Flavia,Lira,27292,66178489190,flavialira@gmail.com,Administrativo,4500,Minas Gerais
Willian,Moreira,37512,99103407212,willianmoreira@uol.com,Comercial,5750,Paraná
Wellington,Braga,22585,96081309286,wellingtonbraga@globo.com,Marketing,19500,Minas Gerais
Sebastião,Toscano,21885,60810885310,sebastiãotoscano@terra.com,Marketing,5750,Santa Catarina
Ezequiel,Cruzeiro,32931,35475810546,ezequielcruzeiro@gmail.com,Comercial,5750,Rio De Janeiro
Vitor,Cintra,23079,39098891433,vitorcintra@globo.com,Gestão,22250,Paraná
Fabio,Vila,21850,79606745636,fabiovila@live.com,Administrativo,26250,Pernambuco
Rui,Barbosa,28485,37413394584,ruibarbosa@gmail.com,Administrativo,9000,Goiás
Anderson,Lima,20213,52093896316,andersonlima@hotmail.com,Gestão,15250,Sergipe
Reinaldo,Fernando,37174,81415784577,reinaldofernando@gmail.com,Comercial,3500,Sergipe
Larissa,Lopes,32325,38121547420,larissalopes@gmail.com,Comercial,3500,Rio De Janeiro
Samuel,Lopes,22879,68045762538,samuellopes@gmail.com,Administrativo,9750,Bahia
Maria,Valença,30272,77924057789,mariavalença@live.com,Administrativo,5500,Paraná
Fernando,Severo,33927,52508511238,fernandosevero@outlook.com,Compras,2750,Pernambuco
Peterson,Santos,36773,19996970034,petersonsantos@gmail.com,Comercial,3250,Rio De Janeiro
Guilherme,Alves,27474,48822445868,guilhermealves@globo.com,Comercial,17000,Bahia
Lidia,Ferreira,21973,30659838222,lidiaferreira@outlook.com,Gestão,12250,Amazonas
Vinicius,Oliveira,33750,13059315560,viniciusoliveira@live.com,Comercial,6500,Santa Catarina
Luiz,Perira,31158,33025006743,luizperira@terra.com,Gestão,15000,Amapá
Edson,Santana,30614,38765277172,edsonsantana@gmail.com,Comercial,28000,Sergipe
Suzana,Araujo,24518,22151651047,suzanaaraujo@hotmail.com,Produção,16750,Rio De Janeiro
Felipe,Lopes,26446,40178617113,felipelopes@gmail.com,Finaneiro,18000,Sergipe
Francisco,Camina,21441,31530693187,franciscocamina@outlook.com,Marketing,3500,Minas Gerais
Jefferson,Ribeiro,33454,51757279492,jeffersonribeiro@terra.com,Compras,4250,São Paulo
Jorge,Patricio,23287,99290510129,jorgepatricio@gmail.com,Marketing,2500,São Paulo
Marcos,Holanda,34608,75172474192,marcosholanda@globo.com,Marketing,4750,Amazonas
Maria,Nogueira,36422,95009275609,marianogueira@gmail.com,Produção,2500,São Paulo
Marcelo,Franco,21881,11793945949,marcelofranco@globo.com,Gestão,20750,Rondônia
Daniela,Pereira,36364,89054529852,danielapereira@globo.com,Comercial,5250,Minas Gerais
Tereza,Alves,25814,93602827844,terezaalves@outlook.com,Comercial,6500,São Paulo
Luiz,Januário,27602,54120063757,luizjanuário@terra.com,Compras,25250,Pernambuco
Eric,Fernando,23732,19325491647,ericfernando@gmail.com,Gestão,3500,Rio De Janeiro
Ana,Franco,21522,94060828713,anafranco@globo.com,Produção,7000,Amazonas
Patryck,Alves,22999,34320356155,patryckalves@gmail.com,Finaneiro,22500,Pernambuco
Luiz,Santana,35689,65162427273,luizsantana@outlook.com,Administrativo,9500,Paraná
Mariana,Barbosa,33271,24148962435,marianabarbosa@globo.com,Marketing,9500,Bahia
Marinalva,Faria,22098,38640166468,marinalvafaria@gmail.com,Finaneiro,5750,Paraná
Jordan,Mota,32181,96812234255,jordanmota@outlook.com,Administrativo,5000,Paraíba
Ana,Silva,31826,32502644000,anasilva@live.com,Comercial,6250,Bahia
Rafael,Paladini,32744,36423547041,rafaelpaladini@gmail.com,Administrativo,8250,Mato Grosso
Andrey,Amaro,29916,15305758449,andreyamaro@globo.com,Marketing,3250,Rio Grande Do Sul
Carlos,Maciel,31519,76874890107,carlosmaciel@globo.com,Marketing,18500,Amazonas
Samuel,Xavier,21872,35302493147,samuelxavier@outlook.com,Finaneiro,5250,Minas Gerais
Adriano,Ferreira,33977,94841225939,adrianoferreira@gmail.com,Produção,6500,São Paulo
Saulo,Francotti,32167,42921810935,saulofrancotti@hotmail.com,Comercial,2500,Mato Grosso
Rafael,David,36684,97091873351,rafaeldavid@gmail.com,Comercial,26250,Pará
Gabriel,Pinto,31716,70770408272,gabrielpinto@gmail.com,Finaneiro,19000,Minas Gerais
Arilson,Alves,23040,31282882675,arilsonalves@gmail.com,Comercial,3750,Acre
Elisandro,Ribeiro,18658,10971561242,elisandroribeiro@gmail.com,Gestão,2750,Paraná
Thiago,Campos,29510,11405754317,thiagocampos@globo.com,Administrativo,3250,Rio De Janeiro
Geane,Lima,26448,71737323469,geanelima@terra.com,Comercial,2750,Amazonas
Amanda,Matos,36915,43681698630,amandamatos@gmail.com,Marketing,8500,São Paulo
Renata,Inacio,23686,12838602938,renatainacio@gmail.com,Comercial,24250,São Paulo
William,Pereira,36881,62502220902,williampereira@uol.com,Finaneiro,8250,Santa Catarina
Jose,Schlickmann,33942,71293300998,joseschlickmann@outlook.com,Marketing,6500,Ceará
Vinicius,Santana,21507,57027456666,viniciussantana@uol.com,Marketing,8000,Rio De Janeiro
Áurea,Rocha,24049,38642625309,áurearocha@gmail.com,Marketing,23500,Ceará
Leonardo,Lopes,33190,84498429325,leonardolopes@live.com,Comercial,4500,Rondônia
Virginia,Marson,31011,67154438727,virginiamarson@globo.com,Produção,5000,Bahia
Henrique,Moura,21748,63742541850,henriquemoura@gmail.com,Administrativo,20250,Distrito Federal
Rafaella,Brilhante,34921,62449205784,rafaellabrilhante@globo.com,Marketing,26000,Paraná
Angelica,Calera,19589,62986595755,angelicacalera@gmail.com,Comercial,4750,Paraíba
Carlos,Santana,26289,75901510794,carlossantana@hotmail.com,Finaneiro,8250,Rio De Janeiro
Letícia,Nascimento,26714,31653482035,letícianascimento@outlook.com,Finaneiro,6750,Rio De Janeiro
Luiz,Santos,35026,56844793630,luizsantos@terra.com,Administrativo,5250,Tocantins
Fernanda,Sousa,30803,74984254260,fernandasousa@gmail.com,Administrativo,3750,Sergipe
Jose,Afonso,27824,47589645675,joseafonso@gmail.com,Marketing,3250,Espírito Santo
Silvia,Pereira,22025,17628505375,silviapereira@live.com,Finaneiro,17500,Mato Grosso
Moises,Milani,25393,13270007575,moisesmilani@outlook.com,Marketing,3000,São Paulo
Helio,Moreira,35433,99445054768,heliomoreira@gmail.com,Marketing,7500,Rio Grande Do Sul
Ricardo,Júlio,33823,42928480128,ricardojúlio@globo.com,Marketing,7000,Pernambuco
Thiago,Rodrigues,29035,43793314325,thiagorodrigues@gmail.com,Comercial,7750,São Paulo
Leonardo,Kozlinski,33540,53746738154,leonardokozlinski@live.com,Compras,2500,Distrito Federal
Renata,Figueira,23046,52372259171,renatafigueira@globo.com,Finaneiro,5000,Mato Grosso Do Sul
Isabelly,Ferreira,36522,33969364183,isabellyferreira@gmail.com,Gestão,5250,Rio Grande Do Sul
Eduardo,Alves,22739,28303751093,eduardoalves@globo.com,Finaneiro,7250,Minas Gerais
Fernando,Santos,36733,39973003272,fernandosantos@gmail.com,Comercial,2500,Rio De Janeiro
Otávio,Burille,21386,14297963456,otávioburille@hotmail.com,Comercial,5750,Pernambuco
Fernando,Gouvea,24417,89782836571,fernandogouvea@terra.com,Comercial,20500,Rondônia
Kauan,Agostini,22502,62036643240,kauanagostini@terra.com,Comercial,6000,Bahia
Verônica,Vieira,31366,78462291359,verônicavieira@globo.com,Gestão,4750,Piauí
Michael,Haddad,21109,72569309905,michaelhaddad@gmail.com,Finaneiro,3750,Amazonas
Roseli,Sabino,27063,85194830882,roselisabino@globo.com,Finaneiro,3250,Bahia
Maurício,Castro,32720,68585641044,mauríciocastro@gmail.com,Gestão,5750,Rio De Janeiro
Fabricio,Portnoi,19573,41131722538,fabricioportnoi@gmail.com,Administrativo,4500,Piauí
Caetano,Santos,18533,87536930649,caetanosantos@terra.com,Comercial,7000,Pernambuco
Daniela,Sousa,28870,19707984684,danielasousa@outlook.com,Comercial,18750,Amapá
Antonio,Nascimento,31257,87526843899,antonionascimento@gmail.com,Finaneiro,19000,Rio De Janeiro
Guilherme,Evaristo,19057,39250031916,guilhermeevaristo@live.com,Marketing,6500,Pará
Nathalia,Haddad,31704,55870534232,nathaliahaddad@gmail.com,Gestão,17000,Pernambuco
Wellington,Araújo,30915,24228274869,wellingtonaraújo@uol.com,Finaneiro,22500,Paraíba
Ariane,Trevisan,23646,99946283194,arianetrevisan@gmail.com,Gestão,5500,Ceará
Dimas,Rodrigues,33409,32814702138,dimasrodrigues@gmail.com,Administrativo,3000,Rio De Janeiro
William,Fusco,33164,94190178021,williamfusco@uol.com,Comercial,12250,São Paulo
Gisele,Menezes,25858,65120886833,giselemenezes@terra.com,Produção,22750,Rondônia
Patrícia,Collaço,24566,84311823835,patríciacollaço@gmail.com,Comercial,6500,Rio Grande Do Sul
Alexandre,Cabral,28785,33180204343,alexandrecabral@gmail.com,Marketing,5500,Paraná
Rodrigo,Lopes,30566,32952704657,rodrigolopes@live.com,Gestão,3250,São Paulo
Gabriel,Fernandes,25570,26657797814,gabrielfernandes@uol.com,Administrativo,7000,Rio De Janeiro
Dario,Guilherme,35737,20761773560,darioguilherme@live.com,Comercial,7750,Rio De Janeiro
Mário,Quintella,27129,50528719128,márioquintella@terra.com,Finaneiro,3000,Bahia
Raphaela,Mendonça,28018,35750860943,raphaelamendonça@terra.com,Gestão,7000,Minas Gerais
Camila,Fernandes,24877,18694747211,camilafernandes@uol.com,Comercial,6750,Rio De Janeiro
Fábio,Beyer,21451,34460894708,fábiobeyer@gmail.com,Comercial,12000,Amazonas
Kelly,Silva,20569,69291605660,kellysilva@uol.com,Comercial,7250,Rio De Janeiro
Flávia,Guilherme,32701,51028025250,fláviaguilherme@gmail.com,Comercial,8500,Rio De Janeiro
Felipe,Alves,34745,35735663636,felipealves@uol.com,Administrativo,5000,Pernambuco
Sergio,Coelho,23023,55778145824,sergiocoelho@live.com,Finaneiro,19250,Minas Gerais
Rafael,Franco,33214,37411896322,rafaelfranco@gmail.com,Comercial,8750,Bahia
Fabricio,Guimarães,22598,33818697608,fabricioguimarães@gmail.com,Marketing,7250,Rio De Janeiro
Maria,Ferreira,28837,20549899928,mariaferreira@terra.com,Finaneiro,22000,Minas Gerais
Larissa,Madeira,26760,87471371554,larissamadeira@hotmail.com,Comercial,21250,Bahia
Adriano,Alves,23275,23947293537,adrianoalves@live.com,Marketing,20750,Rio De Janeiro
Alessandra,Bezerra,23935,74758981619,alessandrabezerra@gmail.com,Gestão,4500,Paraná
